row,column,value,bus_id,stop_id,grey,day,pax,pax_type,pax_round,pax_floor
200,207,#FDFEFF,1,1,254.6,Mon,0.0451977401129895,boarding,0,0
225,207,#FBFEFF,1,2,254.4,Mon,0.0677966101694878,boarding,0,0
250,207,#DDEAF3,1,3,239,Mon,1.80790960451977,boarding,2,1
275,207,#F6FAFF,1,4,253.1,Mon,0.214689265536723,boarding,0,0
300,207,#B8D3E8,1,5,223,Mon,3.61581920903955,boarding,4,3
325,207,#FEFEFF,1,6,254.7,Mon,0.0338983050847439,boarding,0,0
350,207,#EDF4FC,1,7,248.9,Mon,0.689265536723163,boarding,1,0
375,207,#F3F7FF,1,8,252.2,Mon,0.316384180790958,boarding,0,0
400,207,#F1F8FF,1,9,252.2,Mon,0.316384180790958,boarding,0,0
425,207,#BAD3F2,1,10,230.2,Mon,2.80225988700565,boarding,3,2
450,207,#033268,1,11,83.1,Mon,19.4237288135593,boarding,19,19
475,207,#B3D7ED,1,12,226.8,Mon,3.1864406779661,boarding,3,3
500,207,#F1F8FF,1,13,252.2,Mon,0.316384180790958,boarding,0,0
525,207,#B8D3E8,1,14,223,Mon,3.61581920903955,boarding,4,3
550,207,#D8E4F2,1,15,236.6,Mon,2.07909604519774,boarding,2,2
575,207,#FBFEFF,1,16,254.4,Mon,0.0677966101694878,boarding,0,0
600,207,#D5E3F0,1,17,234.7,Mon,2.29378531073446,boarding,2,2
625,207,#EDF4FC,1,18,248.9,Mon,0.689265536723163,boarding,1,0
650,207,#CADCF4,1,19,235,Mon,2.25988700564972,boarding,2,2
675,207,#B9D4E9,1,20,224,Mon,3.50282485875706,boarding,4,3
700,207,#D3E5F3,1,21,237,Mon,2.03389830508474,boarding,2,2
725,207,#A7CAE6,1,22,218.1,Mon,4.16949152542372,boarding,4,4
200,209.848,#F7FAFF,2,1,253.2,Mon,0.203389830508474,boarding,0,0
225,209.848,#F7FAFF,2,2,253.2,Mon,0.203389830508474,boarding,0,0
250,209.848,#F7FAFF,2,3,253.2,Mon,0.203389830508474,boarding,0,0
275,209.848,#E7EBF4,2,4,240.9,Mon,1.59322033898305,boarding,2,1
300,209.848,#D6E6F3,2,5,237.5,Mon,1.9774011299435,boarding,2,1
325,209.848,#F8F9FB,2,6,250.3,Mon,0.531073446327682,boarding,1,0
350,209.848,#E3EDF7,2,7,243,Mon,1.35593220338983,boarding,1,1
375,209.848,#F0F5F9,2,8,247.3,Mon,0.870056497175142,boarding,1,0
400,209.848,#E9F8FF,2,9,251.4,Mon,0.406779661016948,boarding,0,0
425,209.848,#D0E1F5,2,10,237.3,Mon,2,boarding,2,1
450,209.848,#A6CFE5,2,11,218.3,Mon,4.14689265536723,boarding,4,4
475,209.848,#4B97CB,2,12,179.8,Mon,8.49717514124293,boarding,8,8
500,209.848,#F4FBFF,2,13,253.1,Mon,0.21468926553672,boarding,0,0
525,209.848,#B3D2E6,2,14,220.9,Mon,3.85310734463276,boarding,4,3
550,209.848,#C2DBEF,2,15,230.5,Mon,2.7683615819209,boarding,3,2
575,209.848,#F7FAFF,2,16,253.2,Mon,0.203389830508474,boarding,0,0
600,209.848,#C5DBF3,2,17,233.6,Mon,2.4180790960452,boarding,2,2
625,209.848,#EFF3FC,2,18,248.9,Mon,0.689265536723163,boarding,1,0
650,209.848,#E2F5FF,2,19,250.1,Mon,0.55367231638418,boarding,1,0
675,209.848,#E2F2FF,2,20,249.5,Mon,0.621468926553671,boarding,1,0
700,209.848,#D8EAF8,2,21,242,Mon,1.46892655367231,boarding,1,1
725,209.848,#F3FCFB,2,22,250.4,Mon,0.519774011299436,boarding,1,0
200,212.696,#F7FAFF,3,1,253.2,Mon,0.203389830508474,boarding,0,0
225,212.696,#F7FAFF,3,2,253.2,Mon,0.203389830508474,boarding,0,0
250,212.696,#F7FAFF,3,3,253.2,Mon,0.203389830508474,boarding,0,0
275,212.696,#F8FCFF,3,4,253.7,Mon,0.146892655367232,boarding,0,0
300,212.696,#F3FCFF,3,5,253.2,Mon,0.203389830508474,boarding,0,0
325,212.696,#E8F1F8,3,6,245,Mon,1.12994350282486,boarding,1,1
350,212.696,#F0F7FF,3,7,251.9,Mon,0.350282485875702,boarding,0,0
375,212.696,#F0F5FB,3,8,248.7,Mon,0.711864406779661,boarding,1,0
400,212.696,#B4CFE2,3,9,217.6,Mon,4.22598870056497,boarding,4,4
425,212.696,#D8E8F7,3,10,240.9,Mon,1.59322033898305,boarding,2,1
450,212.696,#95C1E4,3,11,213.1,Mon,4.73446327683616,boarding,5,4
475,212.696,#DAE4F0,3,12,235.4,Mon,2.21468926553672,boarding,2,2
500,212.696,#F4FBFF,3,13,253.1,Mon,0.21468926553672,boarding,0,0
525,212.696,#E8F0FD,3,14,248.3,Mon,0.75706214689265,boarding,1,0
550,212.696,#CDDDED,3,15,230.6,Mon,2.75706214689266,boarding,3,2
575,212.696,#F7FAFF,3,16,253.2,Mon,0.203389830508474,boarding,0,0
600,212.696,#D2DEEC,3,17,230.6,Mon,2.75706214689265,boarding,3,2
625,212.696,#F8FCFF,3,18,253.7,Mon,0.146892655367232,boarding,0,0
650,212.696,#63A0CF,3,19,186.8,Mon,7.70621468926554,boarding,8,7
675,212.696,#BECEDD,3,20,214.9,Mon,4.53107344632769,boarding,5,4
700,212.696,#C3D7F0,3,21,230.5,Mon,2.7683615819209,boarding,3,2
725,212.696,#D0E0FA,3,22,240.6,Mon,1.62711864406779,boarding,2,1
200,215.544,#F7FAFF,4,1,253.2,Mon,0.203389830508474,boarding,0,0
225,215.544,#F7FAFF,4,2,253.2,Mon,0.203389830508474,boarding,0,0
250,215.544,#F7FAFF,4,3,253.2,Mon,0.203389830508474,boarding,0,0
275,215.544,#EEF2FB,4,4,247.9,Mon,0.802259887005651,boarding,1,0
300,215.544,#F8FCFF,4,5,253.7,Mon,0.146892655367232,boarding,0,0
325,215.544,#5891BE,4,6,170.8,Mon,9.51412429378531,boarding,10,9
350,215.544,#F8FDFF,4,7,253.9,Mon,0.12429378531073,boarding,0,0
375,215.544,#F9FCFF,4,8,253.8,Mon,0.135593220338979,boarding,0,0
400,215.544,#D2E9F9,4,9,241.9,Mon,1.48022598870056,boarding,1,1
425,215.544,#EEFFFF,4,10,253.3,Mon,0.192090395480221,boarding,0,0
450,215.544,#063D73,4,11,93.3,Mon,18.271186440678,boarding,18,18
475,215.544,#479ACC,4,12,180.7,Mon,8.3954802259887,boarding,8,8
500,215.544,#F4FBFF,4,13,253.1,Mon,0.21468926553672,boarding,0,0
525,215.544,#F2FDFF,4,14,253.3,Mon,0.192090395480221,boarding,0,0
550,215.544,#F4FAFF,4,15,252.9,Mon,0.237288135593218,boarding,0,0
575,215.544,#F7FAFF,4,16,253.2,Mon,0.203389830508474,boarding,0,0
600,215.544,#F7FCFF,4,17,253.6,Mon,0.158192090395474,boarding,0,0
625,215.544,#F7FBFF,4,18,253.4,Mon,0.180790960451976,boarding,0,0
650,215.544,#F2FBFF,4,19,252.9,Mon,0.237288135593218,boarding,0,0
675,215.544,#ECFCFF,4,20,252.5,Mon,0.282485875706211,boarding,0,0
700,215.544,#063263,4,21,79.9,Mon,19.7853107344633,boarding,20,19
725,215.544,#95C9DE,4,22,210.5,Mon,5.02824858757062,boarding,5,5
200,218.392,#F7FAFF,5,1,253.2,Mon,0.203389830508474,boarding,0,0
225,218.392,#F7FAFF,5,2,253.2,Mon,0.203389830508474,boarding,0,0
250,218.392,#F2F5FA,5,3,248.2,Mon,0.768361581920903,boarding,1,0
275,218.392,#F0F4FD,5,4,249.9,Mon,0.576271186440675,boarding,1,0
300,218.392,#E6EBEE,5,5,236.6,Mon,2.07909604519774,boarding,2,2
325,218.392,#DFFFFF,5,6,251.8,Mon,0.361581920903951,boarding,0,0
350,218.392,#E3ECF1,5,7,238.6,Mon,1.85310734463277,boarding,2,1
375,218.392,#F9FCFF,5,8,253.8,Mon,0.135593220338979,boarding,0,0
400,218.392,#E0EDF6,5,9,242,Mon,1.46892655367231,boarding,1,1
425,218.392,#DBEAF1,5,10,237.4,Mon,1.98870056497175,boarding,2,1
450,218.392,#73AAE0,5,11,202.3,Mon,5.95480225988701,boarding,6,5
475,218.392,#9DD2F1,5,12,226.4,Mon,3.2316384180791,boarding,3,3
500,218.392,#EFF6FC,5,13,249.5,Mon,0.621468926553671,boarding,1,0
525,218.392,#162F57,5,14,72.5,Mon,20.6214689265537,boarding,21,20
550,218.392,#21527D,5,15,107.2,Mon,16.7005649717514,boarding,17,16
575,218.392,#F7FAFF,5,16,253.2,Mon,0.203389830508474,boarding,0,0
600,218.392,#DAE3EC,5,17,232.4,Mon,2.55367231638418,boarding,3,2
625,218.392,#F1F5FE,5,18,250.9,Mon,0.463276836158194,boarding,0,0
650,218.392,#ADCDE2,5,19,216.5,Mon,4.35028248587571,boarding,4,4
675,218.392,#C2D2E1,5,20,218.9,Mon,4.07909604519774,boarding,4,4
700,218.392,#CBE9FF,5,21,245.4,Mon,1.08474576271186,boarding,1,1
725,218.392,#BCE0F0,5,22,231.6,Mon,2.64406779661017,boarding,3,2
200,221.24,#F7FAFF,6,1,253.2,Mon,0.203389830508474,boarding,0,0
225,221.24,#F7FAFF,6,2,253.2,Mon,0.203389830508474,boarding,0,0
250,221.24,#F9FCFF,6,3,253.8,Mon,0.135593220338979,boarding,0,0
275,221.24,#F0F4FD,6,4,249.9,Mon,0.576271186440675,boarding,1,0
300,221.24,#EEF8FF,6,5,251.9,Mon,0.350282485875702,boarding,0,0
325,221.24,#F8FCFF,6,6,253.7,Mon,0.146892655367232,boarding,0,0
350,221.24,#DEEBF3,6,7,239.3,Mon,1.77401129943502,boarding,2,1
375,221.24,#EFF2F9,6,8,246.6,Mon,0.949152542372879,boarding,1,0
400,221.24,#E4EDF6,6,9,242.4,Mon,1.42372881355932,boarding,1,1
425,221.24,#D9E5F1,6,10,236.2,Mon,2.12429378531073,boarding,2,2
450,221.24,#B8D6F0,6,11,229.2,Mon,2.91525423728814,boarding,3,2
475,221.24,#D5EAEB,6,12,232.6,Mon,2.53107344632768,boarding,3,2
500,221.24,#F5FCFF,6,13,253.4,Mon,0.180790960451976,boarding,0,0
525,221.24,#4A96C7,6,14,176.7,Mon,8.84745762711864,boarding,9,8
550,221.24,#BBD6EB,6,15,226,Mon,3.27683615819209,boarding,3,3
575,221.24,#F7FAFF,6,16,253.2,Mon,0.203389830508474,boarding,0,0
600,221.24,#C5DFF0,6,17,232.3,Mon,2.56497175141243,boarding,3,2
625,221.24,#F1F5FE,6,18,250.9,Mon,0.463276836158194,boarding,0,0
